Incident,Location,Date Reported,Incident/Case#,Date Occurred,Time Occurred,Summary,Disposition
Noise Disturbance,Europe Hall,11/6/2021,2111060007,11/6/2021,1:36 AM,Loud talking and laughing,Referred to Student Conduct
Recovered Stolen Vehicle,La Jolla Shores Dr/ Paseo Dorado,11/6/2021,2021-1189,11/6/2021,8:30 AM,,Disposition Report Taken
Security Alarm,McGill Hall,11/6/2021,2111060022,11/6/2021,11:31 AM,,False Alarm
Medical Aid,Urey Hall,11/6/2021,2111060024,11/6/2021,1:23 PM,Female having trouble breathing,Checks OK
Medical Aid,Beagle Hall,11/6/2021,2111060025,11/6/2021,1:58 PM,Female with possible strep throat,Transported to Hospital 
Collision With Injury,Matthews Apartments,11/6/2021,2021-1190,11/6/2021,2:40 PM,,Report Taken 
Incomplete/ Accidental Wireless 911 Call,UCSD Police Department ,11/6/2021,2111060030,11/6/2021,3:54 PM,,Logged Event
Incomplete/ Accidental Wireless 911 Call,UCSD Police Department,11/6/2021,2111060039,11/6/2021,5:30 PM,,Logged Event
Citizen Contact,64 Degrees,11/6/2021,2111060041,11/6/2021,6:28 PM,"Reporting party realized there is a tracking device connected to her phone, concerned someone is tracking her",Checks OK
Noise Disturbance,South Mesa Apartments,11/6/2021,2111060042,11/6/2021,7:23 PM,Stomping and jumping,Information Only
Incomplete/ Accidental Landline 911 Call,Nuevo East,11/6/2021,2111060043,11/6/2021,7:25 PM,,Logged Event
Incomplete/ Accidental Wireless 911 Call,Regents Rd/ La Jolla Village Dr,11/6/2021,2111060045,11/6/2021,7:43 PM,,Logged Event 
Incomplete/ Accidental Landline 911 Call,UCSD Police Department,11/6/2021,2111060050,11/6/2021,9:04 PM,,Logged Event
Incomplete/ Accidental Wireless 911 Call,Genesee Av,11/6/2021,2111060051,11/6/2021,9:09 PM,,Logged Event
UC Policy Violation,Canyon Vista ,11/6/2021,2111060053,11/6/2021,9:29 PM,Masking violation,Referred to Student Conduct
Marijuana Contact,Nuevo West - Viento,11/6/2021,2111060055,11/6/2021,10:26 PM,Odor of marijuana,Unable to Locate 
UC Policy Violation,Nuevo West,11/6/2021,2111060056,11/6/2021,10:49 PM,Guest and quiet hours violation,Referred to Student Conduct
Disturbance - Party,Tioga Hall,11/6/2021,2111060057,11/6/2021,10:52 PM,,Referred to Student Conduct
Suspicious Person,Nuevo West - Viento,11/6/2021,2111060058,11/6/2021,10:55 PM,Male following reporting party,Information Only
Noise Disturbance ,Nuevo West,11/6/2021,2111060062,11/6/2021,11:23 PM,Loud group in front of building,Will Cooperate
Welfare Check,Tenaya Hall ,11/6/2021,2111060063,11/6/2021,11:23 PM,,Cancelled
Tow Request,South Mesa Apartments,11/6/2021,2021-1191,11/6/2021,11:42 PM,,Report Taken 
Bicyclist Stop,Neighborhood - Mesa House ,11/6/2021,2111060066,11/6/2021,11:44 PM,,Citation Issued
Skateboard Stop,Nuevo East,11/7/2021,2111070002,11/7/2021,12:02 AM,Group trick skating in the courtyard,Gone On Arrival
Noise Disturbance,One Miramar St Bldg 4,11/7/2021,2111070003,11/7/2021,12:35 AM,Loud talking,Referred to Student Conduct
Noise Disturbance,NTPLL - Catalyst,11/7/2021,2111070004,11/7/2021,12:53 AM,Loud music,Referred to Student Conduct
Quiet Hours Contact,NTPLL - Catalyst,11/7/2021,2111070006,11/7/2021,1:10 AM,,Referred to Student Conduct
Petty Theft,9238 Mesa Housing Laundry Room,11/7/2021,2021-1203,11/6/2021 - 11/7/2021,9:00 PM - 8:00 AM,"Victim's clothing stolen from dryers, loss $600.00",Report Taken
Noise Disturbance,Muir - Tenaya Hall,11/7/2021,2111070008,11/7/2021,1:41 AM,Loud music and yelling ,Quiet on Arrival
Noise Disturbance,ERC - Africa Hall,11/7/2021,2111070009,11/7/2021,1:43 AM,Loud music and bass,Referred to Student Conduct
Disturbance - Domestic Violence,10655 Moonshell Ct,11/7/2021,2111070010,11/7/2021,1:40 AM,,Referred to Other Agency - San Diego Police Department
Noise Disturbance ,Muir - Tenya Hall,11/7/2021,2111070014,11/7/2021,3:03 AM,Loud music and talking,Quiet on Arrival
Illegal Camping,Sanford Consortium,11/7/2021,2111070015,11/7/2021,5:03 AM,Subject inside camper that has been parked for over a week,Field Interview
Medical Aid,Muir - Tamarack Apartments,11/7/2021,2111070019,11/7/2021,10:15 AM,"Female bleeding from eyebrow, unknown cause of injury",Referred to Other Agency - San Diego Fire Department
Bicyclist Stop,Voigt Dr/Hopkins Dr,11/7/2021,2111070021,11/7/2021,11:03 AM,Failure to stop at signal or stop sign,Written Warning Issued
Incomplete/Accidental Landline 911 Call,Gilman Dr,11/7/2021,2111070024,11/7/2021,1:00 PM,,Logged Event
Welfare Check,Nuevo East - Astilla,11/7/2021,2111070025,11/7/2021,1:52 AM,Parent has not heard from student since 10/20/2021,Checks Ok
Fire,Central Mesa Apartments,11/7/2021,2111070030,11/7/2021,3:56 PM,"Fire in oven extinguished, smoke in unit",Referred to Other UCSD Department - Housing Maintance
Illegal Dumping,Sanford Consortium,11/7/2021,2111070036,11/7/2021,5:44 PM,Subject seen dumping vehicle bumper into bushes,Field Interview
Incomplete/Accidental Wireless 911 Call,UCSD Police Department,11/7/2021,2111070039,11/7/2021,6:16 PM,,Logged Event
Incomplete/Accidental Wireless 911 Call,UCSD Police Department ,11/7/2021,2111070042,11/7/2021,6:36 PM,,Logged Event
Attempted Burglary,Seventh College,11/7/2021,2021-1195,11/7/2021,5:25-5:35 PM,First floor window screen found pried outwards,Report Taken
Incomplete/Accidental Wireless 911 Call,UCSD Police Station,11/7/2021,2111070053,11/7/2021,9:09 PM,,Logged Event
Incomplete/Accidental Wireless 911 Call,Muir - Tioga Hall,11/7/2021,2111070054,11/7/2021,9:09 PM,,Logged Event
UC Policy Violation,Canyon Vista,11/7/2021,2111070056,11/7/2021,9:22 PM,Mask violation,Referred to Student Conduct
Welfare Check,UCSD Residential Area,11/7/2021,2111070059,11/7/2021,9:32 PM,Student with COVID-19 not responding to calls,Service Provided
Illegal Parking,Nuevo East - Piedra,11/7/2021,2111070060,11/7/2021,10:20 PM,,"Closed by Citation, Adult"
Information ,Telemedicine Center,11/7/2021,2111070062,11/7/2021,10:34 PM,Audible alarm coming from unknown location,Referred to Other UCSD Department - Central Plant
Noise Disturbance,NTPLL - Kaleidoscope,11/7/2021,2111070063,11/7/2021,10:36 PM,Group playing basketball,Checks OK
Noise Disturbance,Mesa Nueva - Cala,11/7/2021,2111070065,11/7/2021,10:43 PM,Loud talking,Will Cooperate
Concealed Weapon,UCSD Medical Facility - Hillcrest,11/7/2021,HC21-11-06-1019,11/6/2021,2:00 PM,Patient revealed having a concealed firearm,Referred To Other Agency - San Diego Police Department
Noise Disturbance,Nuevo West - Viento,11/8/2021,2111080003,11/8/2021,12:16 AM,Loud cheering and thumping,Quiet On Arrival
Information,UCSD Police Department,11/8/2021,2111080005,11/8/2021,12:36 AM,"Via 911 emergency line, male subject asked for a Cindy and stated he had no emergency",Information Only
Citizen Contact,Mesa Nueva - Cala,11/8/2021,2111080007,11/8/2021,1:12 AM,One subject in pool area after hours,Referred To Student Conduct
Psych Subject,VA Hospital ,11/8/2021,2111080011,11/8/2021,4:53 AM,,Referred To Other Agency - Veterans Hospital Police Department
Vandalism,Sanford Consortium,11/8/2021,2111080012,11/8/2021,5:17 AM,Parking employee found UCSD flags damaged through out lot,Service Provided
Security Alarm,Preuss School Bldg A,11/8/2021,2111080013,11/8/2021,5:32 AM,,Disposition False Alarm
Security Alarm,T. Denny Sanford Med Telemedicine Center,11/8/2021,2111080015,11/8/2021,6:35 AM,,False Alarm
Information Only,Rebecca And John Moores Cancer Center,11/8/2021,2021-1196,11/8/2021,7:52 AM,Adult female verbally aggressive towards hospital staff,Report Taken
Suspicious Person,University Center 301,11/8/2021,2021-1197,11/8/2021,8:57 AM,Male subject found living inside an office,Cleared By Adult Arrest / Citation Issued
Incomplete / Accidental Wireless 911 Call,Voigt Dr,11/8/2021,2111080026,11/8/2021,8:57 AM,,Logged Event
Incomplete / Accidental Wireless 911 Call,Atkinson Hall,11/8/2021,2111080034,11/8/2021,11:30 AM,,Logged Event
Incomplete / Accidental Wireless 911 Call,UCSD Police Department,11/8/2021,2111080035,11/8/2021,11:40 AM,,Logged Event
Incomplete / Accidental Wireless 911 Call,UCSD Police Department,11/8/2021,2111080036,11/8/2021,11:40 AM,,Logged Event
Reckless Driving,North Scholars Dr,11/8/2021,2111080040,11/8/2021,12:37 PM,Report of road rage incident,Gone Arrival
Suspicious Circumstances,Lot 357,11/8/2021,2021-1198,11/7/2021,12:30 AM,Reporting party encountered unknown male in off campus coffee shop and then believes same male was later following her as she drove home,Report Taken
Incomplete / Accidental Wireless 911 Call,Russell Ln / Lyman Ln,11/8/2021,2111080043,11/8/2021,1:24 PM,,Logged Event
Medical Aid,"Temecula, CA",11/8/2021,2111080044,11/8/2021,1:53 PM,Caller requesting medics for subject in Temecula about to pass out,Referred To Other Agency - Temecula Fire Department
Grand Theft - Bicycle,Africa Hall Bike Rack,11/8/2021,2021-1199,11/6/2021 - 11/8/2021,6:00 PM - 12:00 PM,"Loss $2,000.00",Report Taken
Suspicious Vehicle,Genesee Ave / Interstate 5,11/8/2021,2021-1200,11/8/2021,3:20 PM,"Unoccupied vehicle on side of roadway, partially blocking bike lane",Stored Vehicle
Incomplete / Accidental Landline 911 Call,NTPLL - Kaleidoscope,11/8/2021,2111080049,11/8/2021,4:06 PM,,Logged Event
Petty Theft - Bicycle ,Nuevo West - Brisa,11/8/2021,2021-1201,11/6/2021 - 11/8/2021,5:00 PM - 2:00 PM,Loss $200.00,Report Taken
Ticket Sign Off,UCSD Police Department,11/8/2021,2111080051,11/8/2021,5:00 PM,,Service Provided
Report Of Battery,UCSD Police Department,11/8/2021,2111080052,11/8/2021,5:42 PM,"Via 911 emergency, male requesting to speak with officer regarding as assault",Information Only
Incomplete / Accidental Wireless 911 Call,UCSD Police Department,11/8/2021,2111080053,11/8/2021,6:03 PM,,Logged Event
Found Property,Meteor Hall,11/8/2021,2111080054,11/8/2021,6:06 PM,Found wallet,Service Provided
Incomplete / Accidental Wireless 911 Call,Gilman Dr / Myers Dr,11/8/2021,2111080057,11/8/2021,6:21 PM,,Logged Event
Suspicious Person,Argo Hall,11/8/2021,2111080058,11/8/2021,7:00 PM,,Gone On Arrival
Smoking Contact,Galathea Hall,11/8/2021,2021-1202,11/8/2021,7:57 PM,Male transient under staircase smoking cigarette,Stay Away Order Issued
Medical Aid,Seventh College West #2,11/8/2021,2111080060,11/8/2021,7:58 PM,Reporting party has a fever and having difficulty breathing,Referred To Other Agency - San Diego Fire Department
Petty Theft Of Micro Mobility Device,Sequoyah Hall,11/8/2021,2021-1204,11/8/2021,7:00 pm - 8:00 pm,"Stolen electric scooter, loss $500.00",Online Report
Incomplete / Accidental Wireless 911 Call,Rupertus Wy / Russell Ln,11/8/2021,2111080064,11/8/2021,9:50 PM,,Logged Event
Medical Aid,"Mobil Gas Station, La Jolla Village Dr",11/8/2021,2111080065,11/8/2021,10:11 PM,Subject passed out inside vehicle at pumps,Referred To Other Agency - San Diego Fire Department
Petty Theft Of Micro Mobility Device,Sixth College / Blue Bowl Restaurant,11/8/2021,T21000156,11/8/2021,8:00 PM - 8:30 PM,"Stolen electric scooter, loss $450.00",Online Report
Petty Theft Of Micro Mobility Device,Applied Physics And Math Bldg,11/8/2021,T21000155,11/8/2021,8:00 PM - 8:50 PM,"Stolen electric scooter, loss $800.00",Online Report
Noise Disturbance,One Miramar St Bldg 1,11/8/2021,2111080067,11/8/2021,10:46 PM,"Loud group outside building, unknown location ",Quiet On Arrival
Quiet Hours Contact,Warren Apartments,11/8/2021,2111080068,11/8/2021,11:38 PM,,Referred To Student Conduct
UC Policy Violation,Canyon Vista Admin & Dining,11/8/2021,2111080070,11/8/2021,11:56 PM,Mask Violation,Referred To Student Conduct
Vandalism - Graffiti,UCSD Medical Facility - La Jolla,11/8/2021,LJ21-11-08-0620,11/8/2021,12:00 AM,"Unknown suspect(s) painted swastikas and ""San Frenzy"" on light poles, damage unknown at this time",Hospital Security Report Taken
Petty Theft Of Micro Mobility Device,Geisel Library,11/9/2021,2021-1205,11/8/2021 - 11/9/2021,11:15 pm - 11:30 pm,"Electric bicycle, Loss $450.00",Report Taken
Recovered Stolen Vehicle,Birch Aquarium - Lot 017,11/9/2021,2021-1206,11/9/2021,12:50 AM,,Report Taken
Noise Disturbance,Matthews Apartments,11/9/2021,2111090003,11/9/2021,12:36 AM,Group playing football,Gone On Arrival
Psych Subject Detention,Lot 701,11/9/2021,2021-1207,11/9/2021,1:10 AM - 2:20 AM,Male having suicidal ideations,Transported To Hospital
Medial Aid,Keenland Row,11/9/2021,2111090015,11/9/2021,9:14 AM,Insulin overdose,Referred To Other Agency - San Diego Fire Department
Psych Subject Detention,Villa La Jolla Dr,11/9/2021,2021-1208,11/9/2021,9:42 AM,Female having suicidal ideations,Disposition Transported To Hospital
Incomplete / Accidental Wireless 911 Call,Costa Verde Blvd,11/9/2021,2111090017,11/9/2021,9:53 AM,,Logged Event
Incomplete / Accidental Wireless 911 Call,Regents Park Row / Regents Rd,11/9/2021,2111090018,11/9/2021,10:11 AM,,Logged Event
Possession Of Stolen Property,Birch Aquarium,11/9/2021,2111090019,11/9/2021,10:13 AM,"Reporting party meeting up with finder of lost property, finder wants to sell back property",Service Provided
Medial Aid,Pure Vista,11/9/2021,2111090021,11/9/2021,10:46 AM,Elderly subject unconscious,Referred To Other Agency - Santee Fire Department
Fraud,Charles David Keeling Apartments,11/9/2021,2021-1209,11/8/2021 - 11/9/2021,12:00 AM - 6:00 AM,"Unknown suspect(s) used fraudulent means to obtain money from victim, Loss $400.00 ",Report Taken
Disturbance,Holiday Ct,11/9/2021,2111090024,11/9/2021,10:52 AM,Report of transient known to own a machete,Referred To Other Agency - San Diego Police Department
Incomplete / Accidental Wireless 911 Call,UCSD Police Department,11/9/2021,2111090028,11/9/2021,11:29 AM,,Logged Event
Vandalism - Graffiti,Perlman Ambulatory Care Unit,11/9/2021,2021-1210,11/9/2021,Unknown,"Graffiti on UC San Diego information sign, damage $500.00",Report Taken
Medial Aid,Mandel Weiss Theatre,11/9/2021,2111090039,11/9/2021,3:11 PM,Female student feeling faint and nauseous,Referred To Other Agency - San Diego Fire Department
Medial Aid,Regents Park Row / Regents Rd,11/9/2021,2111090040,11/9/2021,3:27 PM,Male subject passed out,Referred To Other Agency - San Diego Fire Department
Incomplete / Accidental Wireless 911 Call,Russell Ln / Lyman Ln,11/9/2021,2111090041,11/9/2021,3:37 PM,,Logged Event
Ticket Sign Off,UCSD Police Department,11/9/2021,2111090043,11/9/2021,4:01 PM,,Service Provided
Clery Incident Report - Rape,UCSD Campus,11/9/2021,2021-1211,10/29/2021 - 11/1/2021,Unknown,,Information Only
Incomplete / Accidental Wireless 911 Call,Geisel Library,11/9/2021,2111090044,11/9/2021,4:31 PM,,Logged Event
Suspicious Person,Mesa Nueva - Ola,11/9/2021,2111090045,11/9/2021,4:38 PM,,Checks OK
Security Alarm,EBU3A,11/9/2021,2111090046,11/9/2021,4:55 PM,,False Alarm
Incomplete / Accidental Wireless 911 Call,UCSD Police Department,11/9/2021,2111090049,11/9/2021,5:49 PM,,Logged Event
Lost Property,NTPLL - Scholars Parking ,11/9/2021,2111090052,11/9/2021,7:12 PM,Report of lost keys and ID card,Information Only
Marijuana Contact,Seventh College West #7,11/9/2021,2111090061,11/9/2021,10:07 PM,Odor of marijuana,Unable To Locate
Incomplete / Accidental Wireless 911 Call,Telecommunications Node B,11/9/2021,2111090061,11/9/2021,10:25 PM,,Logged Event
Security Alarm,Extended Studies,11/10/2021,211110001,11/10/2021,12:04 AM,,False Alarm
Suspicious Vehicle,Mandeville Ln / Gilman Dr,11/10/2021,211110007,11/10/2021,4:50 AM,,Checks OK
Vandalism - Graffiti,Lot 753,11/10/2021,2021-1212,11/10/2021,Unknown,Damage $399.00,Report Taken
Medical Aid,Regents Park Row / Regents Rd,11/10/2021,2111100015,11/10/2021,10:40 AM,,Referred To Other Agency - San Diego Fire Department
Vandalism - Graffiti,Mesa Nueva - Ola,11/10/2021,2021-1213,11/10/2021,Unknown  ,Damage $399.00,Report Taken
Disturbance,"Bordeaux Ave, La Jolla ",11/10/2021,2111100019,11/10/2021,10:54 AM,Confrontation between pedestrian and driver of vehicle,Disposition Referred To Other Agency - San Diego Police Department
Incomplete / Accidental Wireless 911 Call,UCSD Police Department,11/10/2021,2111100022,11/10/2021,10:59 AM,,Logged Event
Incomplete / Accidental Landline 911 Call,Nuevo West - Brisa,11/10/2021,2111100033,11/10/2021,11:53 AM,,Logged Event
Bicyclist Stop,Lot 406 / Gilman Dr,11/10/2021,2111100037,11/10/2021,12:53 PM,,Verbal Warning Issued
Bicyclist Stop,Gilman Dr / Rupertus Ln,11/10/2021,2111100040,11/10/2021,1:14 PM,,Verbal Warning Issued
Reckless Driving,Nobel Dr / La Jolla Village Square,11/10/2021,2021-1214,11/10/2021,1:15 PM  ,,Cleared By Adult Arrest / Citation Issued
Report Of Vehicle Burglary,Regents Rd,11/10/2021,2111100045,11/10/2021,2:38 PM,,Referred To Other Agency - San Diego Police Department
Incomplete / Accidental Wireless 911 Call,Atkinson Hall,11/10/2021,2111100047,11/10/2021,3:52 PM,,Logged Event
Medical Aid,Rebecca And John Moores Cancer Center,11/10/2021,2111100049,11/10/2021,4:08 PM,"Elderly male having stroke, conscious and breathing",Referred To Other Agency - San Diego Fire Department
Theft Of Micro Mobility Device ,Marshall Uppers Apts G,11/10/2021,2021-1218,11/09/2021 - 11/10/2021,9:10 pm - 3:50 pm,"Electric Scooter, Loss $268.00",Online Report
Skateboard Stop,Voigt Dr / Scholars Dr North,11/10/2021,2111100052,11/10/2021,5:03 PM  ,,Citation Issued
Incomplete / Accidental Wireless 911 Call,North Point Dr / Scholars Dr North,11/10/2021,2111100053,11/10/2021,5:30 PM,,Logged Event
Petty Theft - Shoplifting,6th Market,11/10/2021,2021-1214,11/10/2021,5:22 pm - 5:30 pm,"Male suspect selected merchandise from store and left without paying for items, Loss $21.66",Report Taken
Traffic Hazard ,Regents Rd / La Jolla Village Dr,11/10/2021,2111100056,11/10/2021,7:09 PM,Vehicle in roadway blocking traffic,Referred To Other Agency - San Diego Police Department
Incomplete / Accidental Landline 911 Call,NTPLL - Tapestry,11/10/2021,2111100058,11/10/2021,8:09 PM,,Logged Event
Noise Disturbance,Seventh College West #1,11/10/2021,2111100061,11/10/2021,9:21 PM,Hears females singing,Quiet On Arrival
Noise Disturbance,Matthews Apartments C,11/10/2021,2111100066,11/10/2021,9:59 PM  ,Caller hears loud music and skateboards being thrown down stairs,Referred To Student Conduct
Incomplete / Accidental Wireless 911 Call,Thornton Pavilion,11/10/2021,2111100067,11/10/2021,10:13 PM,,Logged Event
Quiet Hours Contact,Nuevo East - Tierra,11/10/2021,2111100070,11/10/2021,11:21 PM,,Will Cooperate
Disturbance - Party,Stewart Hall,11/10/2021,2111100071,11/10/2021,11:47 PM,,Referred To Student Conduct
Quiet Hours Contact,Main Gymnasium,11/10/2021,2111100072,11/10/2021,11:49 PM,,Will Cooperate
Battery,UCSD Medical Facility - Hillcrest,11/10/2021,HC21-10-31-1008,10/31/2021,7:00 PM,Person hit hand of hospital staff member,Hospital Security Report Taken
Security Alarm,Student Services Center,11/11/2021,2111110002,11/11/2021,12:36 AM,,False Alarm
Noise Disturbance,One Miramar Street,11/11/2021,2111110003,11/11/2021,12:45 AM,Group playing ping pong,Referred to Student Conduct
Noise Disturbance,Kathmandu House East,11/11/2021,2111110004,11/11/2021,12:50 AM,,Referred to Student Conduct
Noise Disturbance,Scholars Dr North,11/11/2021,2111110006,11/11/2021,12:55 AM,,Referred to Student Conduct
Noise Disturbance,Canyon Vista ,11/11/2021,2111110008,11/11/2021,1:00 AM  ,Loud group on balcony,Gone On Arrival
Noise Disturbance,Scholars Dr North,11/11/2021,2111110010,11/11/2021,1:57 AM,,Disposition Referred to Student Conduct
Incomplete/ Accidental Wireless 911 Call,Russell Ln/ Lyman Ln,11/11/2021,2111110016,11/11/2021,6:47 AM,,Logged Event
Medical Aid,Nuevo East,11/11/2021,2111110018,11/11/2021,9:47 AM,Female student with possible food poisoning,Transported to Hospital
Incomplete/ Accidental Wireless 911 Call,Tioga Hall,11/11/2021,2111110028,11/11/2021,12:41 PM,,Logged Event
Incomplete/ Accidental Wireless 911 Call,Atkinson Hall,11/11/2021,2111110030,11/11/2021,12:48 PM,,Logged Event
Injury ,Lot 308,11/11/2021,2021-1219,11/11/2021,1:55 PM - 1:56 PM  ,Male fell off an electric scooter,Transported to Hospital
Drunk Driving,Las Jolla Villa Dr/ Villa La Jolla Dr,11/11/2021,2111110044,11/11/2021,4:13 PM,,Referred to Other Agency - San Diego Police Department
Security Alarm,Geisel Library,11/11/2021,2111110049,11/11/2021,4:49 PM,,False Alarm
Attempted Carjacking,Campus Point Parking,11/11/2021,2021-1220,11/11/2021,5:15 PM,Unknown suspect forcibly took victim's car keys from her hand and attempted to steal vehicle,Report Taken
Incomplete/ Accidental Wireless 911 Call,Price Center,11/11/2021,2111110052,11/11/2021,5:36 PM,,Logged Event 
Grand Theft,Natural Sciences Building ,11/11/2021,2021-1221,11/11/2021,3:30 PM - 5:21 PM,"Unknown suspect(s) stole laptop, loss $2,259.00 ",Report Taken
Fire Alarm,Scholars Dr North ,11/11/2021,2111110058,11/11/2021  ,7:54 PM,Burn food,Referred to Other Agency
Noise Disturbance,Scholars Dr North ,11/11/2021,2111110066,11/11/2021,7:54 PM,Loud group in common room,Quiet On Arrival
Disturbance - Party ,Matthews Apartments,11/11/2021,2111110069,11/11/2021,8:15 PM,,Checks OK
Marijuana Contact,Scholars Dr North ,11/11/2021,2111110073,11/11/2021,9:23 PM,Odor of marijuana,Unable to Locate
Incomplete/ Accidental Wireless 911 Call,UCSD Police Department,11/11/2021,2111110077,11/11/2021,9:43 PM,,Logged Event
Criminal Threat,Hunter Glen Dr,11/11/2021,2111110079,11/11/2021,9:51 PM,,Referred to Other Agency - San Diego Police Department
Noise Disturbance,Scholars Dr North ,11/11/2021,2111110082,11/11/2021,10:57 PM  ,Group of 10 in common area playing music ,Quiet On Arrival
Noise Disturbance,Mesa Nueva - Cala,11/11/2021,2111110085,11/11/2021,11:21 PM,Loud group at pool area,Quiet On Arrival
Quiet Hours Contact,Kathmandu House East,11/11/2021,2111110086,11/11/2021,11:21 PM,,Referred to Student Conduct 
Incomplete/ Accidental Wireless 911 Call,Atkinson Hall,11/11/2021,2111110087,11/11/2021,11:27 PM,,Logged Event
Collision,UCSD Medical Facility - Hillcrest,11/11/2021,HC21-11-10-1027,11/10/2021,10:43 AM,,Hospital Security Report Taken
Battery,UCSD Medical Facility - Hillcrest,11/11/2021,HC21-11-10-1028,11/10/2021,6:02 PM,Nurse was battered ,Hospital Security Report Taken
Threat ,UCSD Medical Facility - Hillcrest,11/11/2021,HC21-11-10-1029,11/10/2021,6:20 PM  ,Patient verbally threatened staff ,Hospital Security Report Taken
Theft,UCSD Medical Facility - Hillcrest,11/11/2021,LJ21-11-10-0627,11/10/2021,6:25 AM,UCSD property was stolen ,Hospital Security Report Taken 
Disturbance - Psych Subject,UCSD Residential Area,11/12/2021,2021-1222,11/12/2021,1:17 AM,Student with suicidal ideations,Transported to Hospital
Hit and Run - Non Injury Collision,Blacks Beach ,11/12/2021,2111120003,11/12/2021,1:05 AM,,Referred to Other Agency - San Diego Police Department
Noise Disturbance,Marshall Upper Apartments,11/12/2021,2111120006,11/12/2021,1:26 AM,Loud voices,Quiet On Arrival
Alcohol Contact,Africa Hall,11/12/2021,2111120007,11/12/2021,1:26 AM,Loud group at location,Quiet On Arrival
Welfare Check,Scholars Dr North,11/12/2021,2111120008,11/12/2021,2:04 AM,"Reporting party states, family member never returned home after dropping a friend off on campus",Services Provided
Security Alarm,Marine Science Development ,11/12/2021,2111120014,11/12/2021,5:26 AM,,Disposition False Alarm
Disturbance ,Thornton Pavilion,11/12/2021,2111120015,11/12/2021,5:34 AM,Patient upset with hospital staff,Referred to Other Department
Incomplete/ Accidental Wireless 911 Call,UCSD Police Department,11/12/2021,2111120024,11/12/2021,7:11 AM,,Logged Event
Incomplete/ Accidental Wireless 911 Call,UCSD Police Department,11/12/2021,2111120028,11/12/2021,8:59 AM,,Logged Event
Incomplete/ Accidental Wireless 911 Call,UCSD Police Department,11/12/2021,2111120031,11/12/2021,9:58 AM,,Logged Event
Traffic Hazard,Genesee Av/ Campus Point Dr,11/12/2021,2111120035,11/12/2021,10:47 AM,Female on bike ignoring traffic signals,Unable to Locate
Ticket Sign Off,UCSD Police Department,11/12/2021,2111120036,11/12/2021,10:47 AM,,Service Provided
Incomplete/ Accidental Wireless 911 Call,UCSD Police Department,11/12/2021,2111120037,11/12/2021,11:03 AM,,Logged Event
Incomplete/ Accidental Landline 911 Call,UCSD Police Department,11/12/2021,2111120040,11/12/2021,11:16 AM,,Logged Event
Non Injury Collision,La Jolla Village Dr/ Regents Rd,11/12/2021,2111120042,11/12/2021,11:35 AM,,Referred to Other Agency - San Diego Police Department
Incomplete/ Accidental Wireless 911 Call,Lyman Ln,11/12/2021,2111120045,11/12/2021,12:19 PM,,Logged Event
Petty Theft,Bonner Hall,11/12/2021,2021-1231,11/11/2021 - 11/12/2021,5:00 PM - 10:00 AM,"Charging stand was taken from office, loss $50.00",Online Report
Lost Property,Campus Point Dr,11/12/2021,2111120051,11/12/2021,2:04 PM,Report of lost passport,Logged Event
Indecent Exposure,SIO Pier,11/12/2021,2111120053,11/12/2021,2:20 PM,,Referred to Other Agency - San Diego Police Department
Incomplete/ Accidental Wireless 911 Call,UCSD Police Department,11/12/2021,2111120055,11/12/2021,3:18 PM,,Logged Event
Found Property,Robert Paine Scripps Forum,11/12/2021,2111120056,11/12/2021,3:23 PM,Found wallet,Service Provided
Fraud,Mahaila Dr,11/12/2021,2111120059,11/12/2021,4:35 PM,,Referred to Other Agency - San Diego Police Department
Incomplete/ Accidental Wireless 911 Call,UCSD Police Department,11/12/2021,2111120060,11/12/2021,4:56 PM,,Logged Event 
Reckless Driving,North Torrey Pines Rd/ Pangea Dr,11/12/2021,2111120061,11/12/2021,5:00 PM,Motorcyclists  standing up on their bikes,Referred to Other Agency - San Diego Police Department
Minor Injury Collision ,North Torrey Pines Rd/ Genesee Av,11/12/2021,2111120064,11/12/2021,6:29 PM,,Referred to Other Agency - San Diego Police Department
Incomplete/ Accidental Wireless 911 Call,Ridgewalk Academic Building,11/12/2021,2111120065,11/12/2021,6:48 PM,,Logged Event
Incomplete/ Accidental Wireless 911 Call,UCSD Police Department,11/12/2021,2111120067,11/12/2021,7:16 PM,,Logged Event 
Information Report,Nuevo West - Parking Structure,11/12/2021,2021-1224,11/12/2021,9:06 PM,Verbal argument between two females,Report Taken
Security Alarm,North Torrey Pines Rd,11/12/2021,2111120075,11/12/2021,10:48 PM,,False Alarm
Found Property ,Mesa Nueva,11/12/2021,2111120076,11/12/2021,11:05 PM,Found wallet,Service Provided 
UC Policy Violation,"Catalyst, Scholars Dr North",11/12/2021,2111120081,11/12/2021,11:34 PM,Guest policy violation,Referred to Student Conduct
Noise Disturbance,One Miramar Street,11/12/2021,2111120082,11/12/2021,11:54 PM,Subjects talking loudly ,Unable to Locate 
UC Policy Violation,Nuevo East,11/12/2021,2111120083,11/12/2021,11:54 PM,Smoking contact ,Will Cooperate 
Noise Disturbance,Nuevo East - Porton,11/13/2021,2111130004,11/13/2021,12:26 AM,Loud stomping,Will Cooperate
Quiet Hours Contact,Asante House East,11/13/2021,211113005,11/13/2021,12:35 AM,,Will Cooperate
